team1,team2,winner,margin,matchDate,match_id,title_winner,season
KKR,Capitals,Capitals,4 wickets,"Apr 20, 2023",T206506,,2023
RCB,Punjab Kings,RCB,24 runs,"Apr 20, 2023",T209410,,2023
Super Giants,Royals,Super Giants,10 runs,"Apr 19, 2023",T205539,,2023
Mumbai,Sunrisers,Mumbai,14 runs,"Apr 18, 2023",T203831,,2023
Super Kings,RCB,Super Kings,8 runs,"Apr 17, 2023",T206232,,2023
Titans,Royals,Royals,3 wickets,"Apr 16, 2023",T204210,,2023
KKR,Mumbai,Mumbai,5 wickets,"Apr 16, 2023",T202897,,2023
Super Giants,Punjab Kings,Punjab Kings,2 wickets,"Apr 15, 2023",T203424,,2023
RCB,Capitals,RCB,23 runs,"Apr 15, 2023",T208157,,2023
Sunrisers,KKR,Sunrisers,23 runs,"Apr 14, 2023",T209839,,2023
Punjab Kings,Titans,Titans,6 wickets,"Apr 13, 2023",T206541,,2023
Royals,Super Kings,Royals,3 runs,"Apr 12, 2023",T201215,,2023
Capitals,Mumbai,Mumbai,6 wickets,"Apr 11, 2023",T207664,,2023
RCB,Super Giants,Super Giants,1 wicket,"Apr 10, 2023",T202162,,2023
Punjab Kings,Sunrisers,Sunrisers,8 wickets,"Apr 9, 2023",T206444,,2023
Titans,KKR,KKR,3 wickets,"Apr 9, 2023",T208626,,2023
Mumbai,Super Kings,Super Kings,7 wickets,"Apr 8, 2023",T206408,,2023
Royals,Capitals,Royals,57 runs,"Apr 8, 2023",T207547,,2023
Sunrisers,Super Giants,Super Giants,5 wickets,"Apr 7, 2023",T209590,,2023
KKR,RCB,KKR,81 runs,"Apr 6, 2023",T207668,,2023
Punjab Kings,Royals,Punjab Kings,5 runs,"Apr 5, 2023",T201031,,2023
Capitals,Titans,Titans,6 wickets,"Apr 4, 2023",T205026,,2023
Super Kings,Super Giants,Super Kings,12 runs,"Apr 3, 2023",T202790,,2023
Mumbai,RCB,RCB,8 wickets,"Apr 2, 2023",T202485,,2023
Royals,Sunrisers,Royals,72 runs,"Apr 2, 2023",T209117,,2023
Super Giants,Capitals,Super Giants,50 runs,"Apr 1, 2023",T208512,,2023
Punjab Kings,KKR,Punjab Kings,7 runs,"Apr 1, 2023",T202853,,2023
Super Kings,Titans,Titans,5 wickets,"Mar 31, 2023",T201566,,2023
